[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  2.0% 135/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.1 | time=  1.60s | IPM=  103 | Solved | ETA 18.6h
[  2.1% 136/6600] Direct S3-Tgts  MC 76/100 CV=0.1 | time= 23.19s | IPM=  468 | Solved | ETA 19.1h
[  2.1% 137/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.2 | time=  1.64s | IPM=  108 | Solved | ETA 19.0h
[  2.1% 138/6600] Direct S3-Tgts  MC 76/100 CV=0.2 | time= 14.03s | IPM=  331 | Solved | ETA 19.2h
[  2.1% 139/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.3 | time=  1.56s | IPM=   99 | Solved | ETA 19.1h
[  2.1% 140/6600] Direct S3-Tgts  MC 76/100 CV=0.3 | time= 13.32s | IPM=  311 | Solved | ETA 19.3h
[  2.1% 141/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.4 | time=  1.57s | IPM=  103 | Solved | ETA 19.2h
[  2.2% 142/6600] Direct S3-Tgts  MC 76/100 CV=0.4 | time= 13.78s | IPM=  322 | Solved | ETA 19.4h
[  2.2% 143/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.5 | time=  1.63s | IPM=   99 | Solved | ETA 19.3h
[  2.2% 144/6600] Direct S3-Tgts  MC 76/100 CV=0.5 | time= 13.92s | IPM=  300 | Solved | ETA 19.5h
[  2.2% 145/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.6 | time=  1.83s | IPM=  116 | Solved | ETA 19.4h
[  2.2% 146/6600] Direct S3-Tgts  MC 76/100 CV=0.6 | time=  8.79s | IPM=  189 | Solved | ETA 19.5h
[  2.2% 147/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.7 | time=  1.87s | IPM=  119 | Solved | ETA 19.4h
[  2.2% 148/6600] Direct S3-Tgts  MC 76/100 CV=0.7 | time=  8.60s | IPM=  180 | Solved | ETA 19.5h
[  2.3% 149/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.8 | time=  1.88s | IPM=  118 | Solved | ETA 19.4h
[  2.3% 150/6600] Direct S3-Tgts  MC 76/100 CV=0.8 | time=  8.63s | IPM=  178 | Solved | ETA 19.5h
[  2.3% 151/6600] CV-SDP S3-Tgts  MC 76/100 CV=0.9 | time=  1.83s | IPM=  114 | Solved | ETA 19.4h
[  2.3% 152/6600] Direct S3-Tgts  MC 76/100 CV=0.9 | time=  8.57s | IPM=  178 | Solved | ETA 19.5h
[  2.3% 153/6600] CV-SDP S3-Tgts  MC 76/100 CV=1.0 | time=  1.85s | IPM=  117 | Solved | ETA 19.4h
[  2.3% 154/6600] Direct S3-Tgts  MC 76/100 CV=1.0 | time=  8.65s | IPM=  177 | Solved | ETA 19.4h
[  2.3% 155/6600] CV-SDP S3-Tgts  MC 77/100 CV=0.0 | time=  2.53s | IPM=  167 | Solved | ETA 19.4h
[  2.4% 156/6600] Direct S3-Tgts  MC 77/100 CV=0.0 | time= 14.99s | IPM=  396 | Failed | ETA 19.6h
[  2.4% 157/6600] CV-SDP S3-Tgts  MC 77/100 CV=0.1 | time=  1.50s | IPM=   90 | Solved | ETA 19.5h
[  2.4% 158/6600] Direct S3-Tgts  MC 77/100 CV=0.1 | time= 17.05s | IPM=  374 | Solved | ETA 19.8h
[  2.4% 159/6600] CV-SDP S3-Tgts  MC 77/100 CV=0.2 | time=  1.64s | IPM=  101 | Solved | ETA 19.7h
[  2.4% 160/6600] Direct S3-Tgts  MC 77/100 CV=0.2 | time= 19.68s | IPM=  446 | Solved | ETA 20.0h
[  2.4% 161/6600] CV-SDP S3-Tgts  MC 77/100 CV=0.3 | time=  1.61s | IPM=   98 | Solved | ETA 19.9h
[  2.5% 162/6600] Direct S3-Tgts  MC 77/100 CV=0.3 | time= 14.20s | IPM=  314 | Solved | ETA 20.1h
[  2.5% 163/6600] CV-SDP S3-Tgts  MC 77/100 CV=0.4 | time=  1.52s | IPM=   92 | Solved | ETA 20.0h
[  2.5% 164/6600] Direct S3-Tgts  MC 77/100 CV=0.4 | time=  9.03s | IPM=  189 | Solved | ETA 20.1h
[  2.5% 165/6600] CV-SDP S3-Tgts  MC 77/100 CV=0.5 | time=  1.85s | IPM=  115 | Solved | ETA 20.0h
[  2.5% 166/6600] Direct S3-Tgts  MC 77/100 CV=0.5 | time=  8.68s | IPM=  180 | Solved | ETA 20.0h
[  2.5% 167/6600] CV-SDP S3-Tgts  MC 77/100 CV=0.6 | time=  1.75s | IPM=  114 | Solved | ETA 20.0h
[  2.5% 168/6600] Direct S3-Tgts  MC 77/100 CV=0.6 | time=  8.22s | IPM=  175 | Solved | ETA 20.0h
